City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,San Patricio,US,2020-10-27 02:40:50,28.02,-97.52,78.8,78,20,11.41
165,Calvinia,ZA,2020-10-27 02:43:38,-31.47,19.78,55.24,51,0,3.65
166,Tomatlan,MX,2020-10-27 02:39:04,19.93,-105.25,78.82,87,83,2.59
167,Repalle,IN,2020-10-27 02:43:38,16.02,80.85,78.8,83,0,4.7
168,Kvarkeno,RU,2020-10-27 02:43:38,52.08,59.73,30.69,87,95,24.29
169,Lompoc,US,2020-10-27 02:43:38,34.64,-120.46,60.8,63,1,4.7
170,Bantogon,PH,2020-10-27 02:43:38,6.53,124.03,83.91,67,87,6.51
171,Banda Aceh,ID,2020-10-27 02:41:41,5.56,95.32,86.2,61,5,12.28
172,Ahuimanu,US,2020-10-27 02:43:39,21.44,-157.84,82.4,69,90,5.82
173,Aklavik,CA,2020-10-27 02:42:08,68.22,-135.01,10.4,85,75,6.93
174,Tual,ID,2020-10-27 02:43:39,-5.67,132.75,81.95,73,100,4.47
175,Sao Joao Da Barra,BR,2020-10-27 02:43:39,-21.64,-41.05,71.17,89,100,5.39
176,Tautira,PF,2020-10-27 02:43:39,-17.73,-149.15,82.4,74,75,9.17
177,Caravelas,BR,2020-10-27 02:43:39,-17.71,-39.25,73.02,92,6,3.33
178,Laguna,US,2020-10-27 02:43:39,38.42,-121.42,69.01,8,1,12.75
179,Kenai,US,2020-10-27 02:43:40,60.55,-151.26,42.8,80,90,4.7
180,Algiers,DZ,2020-10-27 02:38:47,36.75,3.04,53.6,93,40,4.7
181,Matara,LK,2020-10-27 02:43:40,5.95,80.54,83.01,73,53,6.58
182,Touros,BR,2020-10-27 02:43:40,-5.2,-35.46,78.8,88,40,5.82
183,San Quintin,MX,2020-10-27 02:41:38,30.48,-115.95,63.32,41,0,6.35
184,Souillac,MU,2020-10-27 02:43:40,-20.52,57.52,71.6,78,40,6.93
185,Dillon,US,2020-10-27 02:43:40,34.42,-79.37,61.0,100,1,1.77
186,Dikson,RU,2020-10-27 02:40:47,73.51,80.55,10.4,95,81,17.47
187,Znin,PL,2020-10-27 02:43:41,52.85,17.72,50.0,100,94,9.17
188,Gijon,ES,2020-10-27 02:40:00,43.54,-5.66,55.4,66,0,9.17
189,Quesnel,CA,2020-10-27 02:42:07,53.0,-122.5,33.8,86,90,13.87
190,Lao Cai,VN,2020-10-27 02:43:41,22.48,103.95,81.61,61,52,1.92
191,Vanimo,PG,2020-10-27 02:42:13,-2.67,141.3,85.51,61,0,5.59
192,Utiel,ES,2020-10-27 02:43:41,39.57,-1.2,42.01,73,0,1.01
193,Srandakan,ID,2020-10-27 02:43:41,-7.94,110.25,81.99,76,100,8.93
194,Taoudenni,ML,2020-10-27 02:43:41,22.68,-3.98,82.24,22,0,7.61
195,Yar-Sale,RU,2020-10-27 02:43:41,66.83,70.83,6.24,95,28,5.37
196,Oktyabrskiy,RU,2020-10-27 02:43:42,54.48,53.47,27.54,92,63,12.53
197,Nikolskoye,RU,2020-10-27 02:43:42,59.7,30.79,50.0,87,75,8.95
198,Ghanzi,BW,2020-10-27 02:43:42,-21.57,21.78,67.19,27,42,7.63
199,Egvekinot,RU,2020-10-27 02:38:53,66.32,-179.17,22.46,96,100,4.09
200,Barrow,US,2020-10-27 02:43:42,71.29,-156.79,19.4,85,90,11.41
201,Burnie,AU,2020-10-27 02:42:50,-41.07,145.92,62.01,41,94,8.99
202,Berlevag,NO,2020-10-27 02:43:42,70.86,29.09,37.99,78,2,14.54
203,Ponta Do Sol,PT,2020-10-27 02:43:43,32.67,-17.1,66.2,63,20,10.29
204,Taga,RO,2020-10-27 02:43:43,46.95,24.05,42.8,100,90,1.12
205,Marsala,IT,2020-10-27 02:41:21,37.8,12.44,60.8,82,40,2.24
206,Nkhata Bay,MW,2020-10-27 02:43:43,-11.61,34.29,73.85,70,70,4.38
207,Korla,CN,2020-10-27 02:39:06,41.76,86.15,47.97,46,61,7.05
208,Ahipara,NZ,2020-10-27 02:43:43,-35.17,173.17,67.69,75,77,7.87
209,Ketou,BJ,2020-10-27 02:43:43,7.36,2.6,74.23,94,79,1.77
210,Port Shepstone,ZA,2020-10-27 02:43:44,-30.74,30.45,64.71,85,100,4.94
211,Lorengau,PG,2020-10-27 02:38:51,-2.02,147.27,82.54,76,85,4.21
