City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Biak,ID,-0.91,122.88,77.56,74,97,5.57,overcast clouds
332,Chicama,PE,-7.84,-79.15,66.2,72,75,11.41,mist
333,Nyuksenitsa,RU,60.41,44.24,28.06,98,1,3.38,clear sky
334,Mariental,NA,-24.63,17.97,84.79,18,83,11.48,broken clouds
335,The Valley,AI,18.22,-63.06,86.0,66,20,19.46,few clouds
336,Black River,JM,18.03,-77.85,87.01,66,40,12.75,scattered clouds
337,Muisne,EC,0.6,-80.03,86.0,74,40,11.41,scattered clouds
338,Esperance,AU,-33.87,121.9,62.6,100,90,8.05,light rain
339,Kang,BW,-23.68,22.79,81.63,28,36,6.49,scattered clouds
340,Cloquet,US,46.72,-92.46,33.01,36,1,18.34,clear sky
341,Kavaratti,IN,10.57,72.64,82.24,70,0,4.21,clear sky
342,Qaqortoq,GL,60.72,-46.03,26.6,68,29,4.7,scattered clouds
343,Hervey Bay,AU,-25.3,152.85,71.01,93,50,3.0,scattered clouds
344,Palmer,US,42.16,-72.33,53.6,58,90,11.41,overcast clouds
345,Varna,BG,43.22,27.92,46.99,75,0,5.82,clear sky
346,Cabedelo,BR,-6.98,-34.83,86.0,66,40,11.41,scattered clouds
347,Banda Aceh,ID,5.56,95.32,79.66,79,96,9.19,overcast clouds
348,Kalamare,BW,-22.93,26.57,69.67,56,24,15.21,few clouds
349,Sant Pere De Ribes,ES,41.27,1.77,64.0,86,20,5.59,few clouds
350,Tipuani,BO,-15.56,-68.02,90.5,27,28,3.58,scattered clouds
351,Kanniyakumari,IN,8.08,77.57,80.58,75,36,8.46,scattered clouds
352,Dormidontovka,RU,47.77,134.91,34.9,87,52,7.43,broken clouds
353,Saint Simons,US,31.14,-81.39,73.4,94,90,10.29,overcast clouds
354,Pathein,MM,16.78,94.73,76.05,93,56,2.89,broken clouds
355,Hounde,BF,11.5,-3.52,86.95,24,0,5.35,clear sky
356,Santa Fe,AR,-31.63,-60.7,82.99,28,0,4.0,clear sky
357,Neuquen,AR,-38.95,-68.06,89.6,19,0,4.7,clear sky
358,Kamenka,RU,51.32,42.77,43.74,74,46,9.44,scattered clouds
359,Potchefstroom,ZA,-26.72,27.1,57.06,87,100,5.91,moderate rain
360,Calabozo,VE,8.92,-67.43,84.16,79,89,4.59,light rain
361,Grindavik,IS,63.84,-22.43,39.2,80,75,8.05,broken clouds
